turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,neutral
111,2026-05-19T02:47:33,Эвелина,да,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
112,2026-05-19T02:47:36,Эвелина,у нее муж был,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
113,2026-05-19T02:47:36,Миша,она парадокси,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
114,2026-05-19T02:47:41,Миша,пхпх,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
115,2026-05-19T02:47:59,Эвелина,естественно она целовалась,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
116,2026-05-19T02:48:54,Миша,(,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
117,2026-05-19T02:49:01,Миша,нет чел,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
118,2026-05-19T02:49:03,Миша,ты бредишь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
119,2026-05-19T02:49:09,Миша,пытаешься прикрыться,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
120,2026-05-19T02:49:16,Миша,давай не болей пж,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
121,2026-05-19T02:49:29,Эвелина,постараюсь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
122,2026-05-19T02:51:32,Миша,навайбкодь скрипт который за тебя раз в день будет заходить прожимать,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
123,2026-05-19T02:51:39,Миша,а если типа не прожалось,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
124,2026-05-19T02:51:42,Миша,пистаь тебе в тг ботом,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
125,2026-05-19T02:51:44,Эвелина,та я знаю),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
126,2026-05-19T02:51:46,Миша,что алярм ошибка,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
127,2026-05-19T02:51:52,Миша,норм тема,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
128,2026-05-19T02:51:53,Эвелина,так и хочу сделать потом,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
129,2026-05-19T02:52:00,Миша,че знаешь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
130,2026-05-19T02:52:04,Миша,я от всего сердца,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
131,2026-05-19T02:52:05,Миша,подумал,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
132,2026-05-19T02:52:07,Миша,предложил,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
133,2026-05-19T02:52:09,Эвелина,ой,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
134,2026-05-19T02:52:11,Миша,а она все знает уже,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
135,2026-05-19T02:52:13,Миша,пиздец,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
136,2026-05-19T02:52:15,Миша,сори сори,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
137,2026-05-19T02:52:15,Эвелина,дшфуквдфукрплое,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
138,2026-05-19T02:52:18,Эвелина,СОРИ,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
139,2026-05-19T02:52:20,Миша,загптшила уже все,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
140,2026-05-19T02:52:22,Миша,понятно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
141,2026-05-19T02:52:23,Эвелина,не,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
142,2026-05-19T02:52:29,Эвелина,ну это 1я идея,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
143,2026-05-19T02:52:40,Миша,а типа у меня еще и идеи банальные,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
144,2026-05-19T02:52:41,Миша,пон,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
145,2026-05-19T02:52:44,Миша,все ясно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
146,2026-05-19T02:52:47,Эвелина,😭😭😭😭😭😭😭,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
147,2026-05-19T02:52:51,Миша,вот у девы марии наверное был нормальный муж,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
